org,metric,period,previous_count,current_count,change,change_pct,change_per_week,programs,city,state,previous_at,current_at,elapsed_days,from_zero,ranking_eligible,source_url
apopkapd,totalSharedCameras,previous,6894,6894,0,0.0,0.0,Connect Apopka,Apopka,FL,2026-09-15T23:08:30Z,2026-09-15T23:17:41Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apopkapd/stats/
apopkapd,totalMaxCameras,previous,500,500,0,0.0,0.0,Connect Apopka,Apopka,FL,2026-09-15T23:08:30Z,2026-09-15T23:17:41Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apopkapd/stats/
apopkapd,subscribedCameras,previous,221,221,0,0.0,0.0,Connect Apopka,Apopka,FL,2026-09-15T23:08:30Z,2026-09-15T23:17:41Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/apopkapd/stats/
arlingtonheightspd,totalRegisteredCameras,previous,652,652,0,0.0,0.0,Connect Arlington Heights,Arlington Heights,IL,2026-09-15T23:08:31Z,2026-09-15T23:17:42Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
arlingtonheightspd,totalIntegratedCameras,previous,1142,1142,0,0.0,0.0,Connect Arlington Heights,Arlington Heights,IL,2026-09-15T23:08:31Z,2026-09-15T23:17:42Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
arlingtonheightspd,totalOwnedCameras,previous,379,379,0,0.0,0.0,Connect Arlington Heights,Arlington Heights,IL,2026-09-15T23:08:31Z,2026-09-15T23:17:42Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
arlingtonheightspd,totalSharedCameras,previous,763,763,0,0.0,0.0,Connect Arlington Heights,Arlington Heights,IL,2026-09-15T23:08:31Z,2026-09-15T23:17:42Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
arlingtonheightspd,totalMaxCameras,previous,1500,1500,0,0.0,0.0,Connect Arlington Heights,Arlington Heights,IL,2026-09-15T23:08:31Z,2026-09-15T23:17:42Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
arlingtonheightspd,subscribedCameras,previous,363,363,0,0.0,0.0,Connect Arlington Heights,Arlington Heights,IL,2026-09-15T23:08:31Z,2026-09-15T23:17:42Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
artesianmpd,totalRegisteredCameras,previous,57,57,0,0.0,0.0,Connect Artesia,Artesia,MN,2026-09-15T23:08:32Z,2026-09-15T23:17:43Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
artesianmpd,totalIntegratedCameras,previous,209,209,0,0.0,0.0,Connect Artesia,Artesia,MN,2026-09-15T23:08:32Z,2026-09-15T23:17:43Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
artesianmpd,totalOwnedCameras,previous,209,209,0,0.0,0.0,Connect Artesia,Artesia,MN,2026-09-15T23:08:32Z,2026-09-15T23:17:43Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
artesianmpd,totalSharedCameras,previous,0,0,0,,0.0,Connect Artesia,Artesia,MN,2026-09-15T23:08:32Z,2026-09-15T23:17:43Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
artesianmpd,totalMaxCameras,previous,0,0,0,,0.0,Connect Artesia,Artesia,MN,2026-09-15T23:08:32Z,2026-09-15T23:17:43Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
artesianmpd,subscribedCameras,previous,207,207,0,0.0,0.0,Connect Artesia,Artesia,MN,2026-09-15T23:08:32Z,2026-09-15T23:17:43Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
ashevillepdnc,totalRegisteredCameras,previous,11,11,0,0.0,0.0,Connect Asheville,Asheville,NC,2026-09-15T23:08:33Z,2026-09-15T23:17:44Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/
ashevillepdnc,totalIntegratedCameras,previous,19,19,0,0.0,0.0,Connect Asheville,Asheville,NC,2026-09-15T23:08:33Z,2026-09-15T23:17:44Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/
ashevillepdnc,totalOwnedCameras,previous,19,19,0,0.0,0.0,Connect Asheville,Asheville,NC,2026-09-15T23:08:33Z,2026-09-15T23:17:44Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/
ashevillepdnc,totalSharedCameras,previous,0,0,0,,0.0,Connect Asheville,Asheville,NC,2026-09-15T23:08:33Z,2026-09-15T23:17:44Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/
ashevillepdnc,totalMaxCameras,previous,500,500,0,0.0,0.0,Connect Asheville,Asheville,NC,2026-09-15T23:08:33Z,2026-09-15T23:17:44Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/
